DS_Name, Operacion, TamanoDatos, Tiempo_Ejecucion_ns
SingleLLNoTail,PushFront,10,4446
SingleLLNoTail,PushBack,10,8100
SingleLLNoTail,isEmpty,10,5100
SingleLLNoTail,AddAfter,10,10928
SingleLLNoTail,AddBefore,10,4568
SingleLLNoTail,Find,10,3721
SingleLLNoTail,Erase,10,3639
SingleLLNoTail,PopFront,10,3842
SingleLLNoTail,PopBack,10,2843
SingleLLWithTail,PushFront,10,500
SingleLLWithTail,PushBack,10,949
SingleLLWithTail,isEmpty,10,519
SingleLLWithTail,AddAfter,10,2022
SingleLLWithTail,AddBefore,10,1123
SingleLLWithTail,Find,10,1194
SingleLLWithTail,Erase,10,1181
SingleLLWithTail,PopFront,10,1265
SingleLLWithTail,PopBack,10,775
DoublyLLNoTail,PushFront,10,530
DoublyLLNoTail,PushBack,10,1262
DoublyLLNoTail,isEmpty,10,411
DoublyLLNoTail,AddAfter,10,4576
DoublyLLNoTail,AddBefore,10,3935
DoublyLLNoTail,Find,10,1093
DoublyLLNoTail,Erase,10,1389
DoublyLLNoTail,PopFront,10,633
DoublyLLNoTail,PopBack,10,611
DoublyLLWithTail,PushFront,10,515
DoublyLLWithTail,PushBack,10,1029
DoublyLLWithTail,isEmpty,10,346
DoublyLLWithTail,AddAfter,10,4474
DoublyLLWithTail,AddBefore,10,1194
DoublyLLWithTail,Find,10,1006
DoublyLLWithTail,Erase,10,1282
DoublyLLWithTail,PopFront,10,635
DoublyLLWithTail,PopBack,10,388
Queue,Enqueue,10,3172
Queue,Dequeue,10,2919
Queue,Delete,10,3665
Queue,Front,10,2148
Queue,Size,10,3656
Queue,isEmpty,10,2038
Stack,Push,10,2583
Stack,Pop,10,2652
Stack,Delete,10,3195
Stack,Peek,10,2115
Stack,Size,10,2364
Stack,isEmpty,10,1978
SingleLLNoTail,PushFront,50,701
SingleLLNoTail,PushBack,50,1589
SingleLLNoTail,isEmpty,50,535
SingleLLNoTail,AddAfter,50,6575
SingleLLNoTail,AddBefore,50,3217
SingleLLNoTail,Find,50,3078
SingleLLNoTail,Erase,50,3244
SingleLLNoTail,PopFront,50,616
SingleLLNoTail,PopBack,50,915
SingleLLWithTail,PushFront,50,97428
SingleLLWithTail,PushBack,50,1614
SingleLLWithTail,isEmpty,50,366
SingleLLWithTail,AddAfter,50,3608
SingleLLWithTail,AddBefore,50,8474
SingleLLWithTail,Find,50,1956
SingleLLWithTail,Erase,50,1872
SingleLLWithTail,PopFront,50,539
SingleLLWithTail,PopBack,50,1374
DoublyLLNoTail,PushFront,50,619
DoublyLLNoTail,PushBack,50,1328
DoublyLLNoTail,isEmpty,50,399
DoublyLLNoTail,AddAfter,50,2953
DoublyLLNoTail,AddBefore,50,2107
DoublyLLNoTail,Find,50,2095
DoublyLLNoTail,Erase,50,2037
DoublyLLNoTail,PopFront,50,821
DoublyLLNoTail,PopBack,50,958
DoublyLLWithTail,PushFront,50,457
DoublyLLWithTail,PushBack,50,744
DoublyLLWithTail,isEmpty,50,334
DoublyLLWithTail,AddAfter,50,3148
DoublyLLWithTail,AddBefore,50,2023
DoublyLLWithTail,Find,50,1908
DoublyLLWithTail,Erase,50,2107
DoublyLLWithTail,PopFront,50,461
DoublyLLWithTail,PopBack,50,348
Queue,Enqueue,50,938
Queue,Dequeue,50,770
Queue,Delete,50,1716
Queue,Front,50,346
Queue,Size,50,566
Queue,isEmpty,50,383
Stack,Push,50,488
Stack,Pop,50,636
Stack,Delete,50,1187
Stack,Peek,50,287
Stack,Size,50,380
Stack,isEmpty,50,387
SingleLLNoTail,PushFront,75,487
SingleLLNoTail,PushBack,75,1067
SingleLLNoTail,isEmpty,75,503
SingleLLNoTail,AddAfter,75,2455
SingleLLNoTail,AddBefore,75,1817
SingleLLNoTail,Find,75,1546
SingleLLNoTail,Erase,75,1526
SingleLLNoTail,PopFront,75,502
SingleLLNoTail,PopBack,75,1041
SingleLLWithTail,PushFront,75,698
SingleLLWithTail,PushBack,75,493
SingleLLWithTail,isEmpty,75,421
SingleLLWithTail,AddAfter,75,2005
SingleLLWithTail,AddBefore,75,1632
SingleLLWithTail,Find,75,1487
SingleLLWithTail,Erase,75,1572
SingleLLWithTail,PopFront,75,596
SingleLLWithTail,PopBack,75,1188
DoublyLLNoTail,PushFront,75,592
DoublyLLNoTail,PushBack,75,1001
DoublyLLNoTail,isEmpty,75,424
DoublyLLNoTail,AddAfter,75,2035
DoublyLLNoTail,AddBefore,75,1480
DoublyLLNoTail,Find,75,1320
DoublyLLNoTail,Erase,75,1482
DoublyLLNoTail,PopFront,75,489
DoublyLLNoTail,PopBack,75,909
DoublyLLWithTail,PushFront,75,614
DoublyLLWithTail,PushBack,75,373
DoublyLLWithTail,isEmpty,75,345
DoublyLLWithTail,AddAfter,75,2032
DoublyLLWithTail,AddBefore,75,1434
DoublyLLWithTail,Find,75,1313
DoublyLLWithTail,Erase,75,1494
DoublyLLWithTail,PopFront,75,453
DoublyLLWithTail,PopBack,75,286
Queue,Enqueue,75,484
Queue,Dequeue,75,734
Queue,Delete,75,2015
Queue,Front,75,323
Queue,Size,75,489
Queue,isEmpty,75,360
Stack,Push,75,734
Stack,Pop,75,572
Stack,Delete,75,1575
